Codigo_CVM;Nome_Empresarial;CNPJ_Companhia;CodIF_F;CodIF_P
1023;BANCO BRASIL;00000000;49906;1000080329
14206;BRB BANCO DE BRASILIA;00000208;31976;1000080288
24406;BANCO INTER;00416968;51884;1000080996
922;BANCO AMAZONIA;04902979;;1000081249
1171;BANCO ESTADO DO PARA;04913711;;1000081586
1228;BANCO NORDESTE DO BRASIL;07237373;;1000081593
1120;BANCO ESTADO DE SERGIPE - BANESE;13009717;;1000081634
3891;FINANCEIRA ALFA- CRED FINANC E INVS;17167412;51293;1000080570
1325;BANCO MERCANTIL DO BRASIL;17184037;20152;1000080123
1155;BANESTES - BANCO EST ESPIRITO SANTO;28127603;30159;1000080147
20958;BANCO ABC BRASIL;28195667;41856;1000080312
25755;BANCO MODAL;30723886;51963;1000081658
8540;MERCANTIL BRASIL FINANC C.F.I.;33040601;20152;1000080123
1309;BANCO MERCANTIL DE INVESTIMENTOS;34169557;20152;1000080123
21199;BANCO PAN;59285411;49944;1000080336
906;BANCO BRADESCO;60746948;10045;1000080075
1384;BANCO ALFA DE INVESTIMENTO;60770336;51293;1000080570
19348;ITAU UNIBANCO HOLDING;60872504;10069;1000080099
24600;BANCO BMG;61186680;30290;1000080178
20567;BANCO PINE;62144175;50304;1000080374
20532;BANCO SANTANDER (BRASIL);90400888;30379;1000080185
6076;FINANSINOS- CREDITO FINANC E INVEST;91669747;;1000083467
1210;BANCO ESTADO DO RIO GRANDE DO SUL;92702067;30173;1000080154
22616;BANCO BTG PACTUAL;30306294;49944;1000080336
