Codigo_CVM;Codigo_Negociacao;Nome_Empresarial;Setor_Atividade;CNPJ_Companhia;Pagina_Web;Descricao_Atividade
1023;BBAS3;BANCO BRASIL;Bancos;00.000.000/0001-91;www.bb.com.br;Banco Múltiplo
14206;BSLI3 BSLI4;BRB BANCO DE BRASILIA;Bancos;00.000.208/0001-00;www.brb.com.br;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo
2437;ELET6 ELET5;CENTRAIS ELET BRAS - ELETROBRAS;Energia Elétrica;00.001.180/0001-26;www.eletrobras.com;Empresa Holding de Geração, Transmissão de Energia
14451;CEBR3 CEBR6 CEBR5;CIA ENERGETICA DE BRASILIA;Energia Elétrica;00.070.698/0001-11;www.ceb.com.br;HOLDING/GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
14818;CMFA3 CMFA4;CIMS;Emp. Adm. Part. - Energia Elétrica;00.272.185/0001-93;www.cims.com.br;Participação no Capital de Outras Empresas
11258;TELB3 TELB4;TELEC BRASILEIRAS TELEBRAS;Telecomunicações;00.336.701/0001-04;www.telebras.com.br;Consecução e execução das Políticas Públicas de Telecomunicação (Decreto 9.612/2018).
15423;ATOM3;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES;Emp. Adm. Part. - Sem Setor Principal;00.359.742/0001-08;www.atompar.com.br;Holding de instituições não financeiras.
24406;BIDI3 BIDI4 BIDI11;BANCO INTER;Bancos;00.416.968/0001-01;http://ri.bancointer.com.br/;Banco múltiplo com carteira de crédito, financiamento, investimento, câmbio e plataforma de produtos e serviços financeiros e não financeiros.
22594;STKF3;STATKRAFT ENERGIAS RENOVAVEIS;Energia Elétrica;00.622.416/0001-41;www.statkraft.com.br;A Companhia atua no ramo de geração de energia elétrica por meio de fontes renováveis.
20990;BTOW3;B2W - COMPANHIA DIGITAL;Comércio (Atacado e Varejo);00.776.574/0001-56;http://www.b2wdigital.com;Comércio varejista e atacadista em geral de quaisquer bens e serviços através de diversos meios, em especial da Internet, sem restrição a outros meios.
15253;ENGI3 ENGI4 ENGI11;ENERGISA;Emp. Adm. Part. - Energia Elétrica;00.864.214/0001-06;https://ri.energisa.com.br/;Sociedade de participações em outras empresas, predominantemente em distribuidoras de energia elétrica.
15369;VSPT3 VSPT4;FERROVIA CENTRO-ATLANTICA;Serviços Transporte e Logística;00.924.429/0001-75;https://www.vli-logistica.com.br/relacoes-investidores/;Serviço de Transporte Ferroviário
21733;CIEL3;CIELO;Intermediação Financeira;01.027.058/0001-91;www.cielo.com.br;Empresa prestadora de serviços de adquirência e meios de pagamento.
15539;NEOE3;NEOENERGIA;Emp. Adm. Part. - Energia Elétrica;01.083.200/0001-18;http://ri.neoenergia.com/;Participação em outras sociedades
15784;LIPR3;ELETROBRÁS PARTICIPAÇÕES - ELETROPAR;Emp. Adm. Part. - Energia Elétrica;01.104.937/0001-70;www.eletrobraspar.com;A ELETROPAR tem por objeto social principal a participação no capital social da ELETROPAULO - Eletricidade de São Paulo S.A., concessionária de serviços pub. de energia elét., e de outras sociedades.
24660;BBML3;BBM Logística;Serviços Transporte e Logística;01.107.327/0001-20;www.bbmlogística.com.br;Prestação de serviços logísticos através de operações dedicadas e transporte de carga geral fracionada.
16101;GAFS3;GAFISA;Construção Civil, Mat. Constr. e Decoração;01.545.826/0001-07;www.gafisa.com.br;
6041;FIGE3 FIGE4;INVESTIMENTOS BEMGE;Emp. Adm. Part. - Bancos;01.548.981/0001-79;www.itau.com.br/relacoes-com-investidores/informacoes-financeiras/investimentos-bemge;Investimentos
25160;SEQL3;SEQUOIA LOGÍSTICA E TRANSPORTES;Serviços Transporte e Logística;01.599.101/0001-93;https://ri.sequoialog.com.br;Logística,transporte rodoviário de cargas em geral, municipal, intermunicipal, estadual e interestadual, serviços de entrega rápida e carga e descarga, dentre outros.
